defense,tp,fp,tn,fn,tpr,fpr,precision,f1,tpr_ci_lower,tpr_ci_upper,fpr_ci_lower,fpr_ci_upper,precision_ci_lower,precision_ci_upper,f1_ci_lower,f1_ci_upper,latency_mean,latency_p50,latency_p95
Signature-Only,0,0,200,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003800356298460996,0.0002384185791015625,0.00095367431640625
Rules-Only,11,18,182,188,0.05527638190954774,0.09,0.3793103448275862,0.09649122807017545,0.02403846153846154,0.08956062384705683,0.055044724770642206,0.1298125,0.21202651515151524,0.5714285714285714,0.04585599236165887,0.15111484593837535,0.04046215538847117,0.0276,0.10815999999999984
OpenAI-Moderation,0,0,200,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8179.085269924813,8146.2906,8604.33113
