Defense,INPUT_TPR,INPUT_FPR,INPUT_API_Cost,INPUT_FP_Cost,INPUT_FN_Cost,INPUT_Total,INPUT_Latency_ms,OUTPUT_TPR,OUTPUT_FPR,OUTPUT_API_Cost,OUTPUT_FP_Cost,OUTPUT_FN_Cost,OUTPUT_Total,OUTPUT_Latency_ms,Cost_Ratio
Signature-Only,79.9%,0.0%,$0.001,$0.00,$100500.00,$100500.00,0.0,0.0%,0.0%,$0.501,$0.00,$500000.00,$500000.50,0.0,5.0x
Rules-Only,19.8%,1.1%,$0.001,$55.00,$401000.00,$401055.00,0.0,5.5%,9.0%,$0.501,$450.00,$472361.81,$472812.31,0.0,1.2x
NeMo-Baseline,13.0%,0.5%,$0.001,$25.00,$435000.00,$435025.00,0.0,0.0%,0.0%,$0.000,$0.00,$0.00,$0.00,0.0,0.0x
OpenAI-Moderation,12.0%,1.5%,$0.020,$75.00,$440000.00,$440075.02,225.6,0.0%,0.0%,$0.520,$0.00,$500000.00,$500000.52,8146.3,1.1x
